e,n,d
323.0,43.0,0
323.0,43.0,1
323.0,43.0,2
323.0,43.0,3
323.0,43.0,4
323.0,43.0,5
323.0,43.0,6
323.0,43.0,7
323.0,43.0,8
323.0,43.0,9
323.0,43.0,10
323.0,43.0,11
323.0,43.0,12
323.0,43.0,13
323.0,43.0,14
323.0,43.0,15
323.0,43.0,16
323.0,43.0,17
323.0,43.0,18
323.0,43.0,19
323.0,43.0,20
323.0,43.0,21
323.0,43.0,22
323.0,43.0,23
323.0,43.0,24
323.0,43.0,25
323.0,43.0,26
323.0,43.0,27
323.0,43.0,28
323.0,43.0,29
323.0,43.0,30
323.0,43.0,31
323.0,43.0,32
323.0,43.0,33
323.0,43.0,34
323.0,43.0,35
323.0,43.0,36
323.0,43.0,37
323.0,43.0,38
323.0,43.0,39
323.0,43.0,40
323.0,43.0,41
323.0,43.0,42
323.0,43.0,43
323.0,43.0,44
323.0,43.0,45
323.0,43.0,46
323.0,43.0,47
323.0,43.0,48
323.0,43.0,49
323.0,43.0,50
323.0,43.0,51
323.0,43.0,52
323.0,43.0,53
323.0,43.0,54
323.0,43.0,55
323.0,43.0,56
323.0,43.0,57
323.0,43.0,58
323.0,43.0,59
323.0,43.0,60
323.0,43.0,61
323.0,43.0,62
323.0,43.0,63
323.0,43.0,64
323.0,43.0,65
323.0,43.0,66
323.0,43.0,67
323.0,43.0,68
323.0,43.0,69
323.0,43.0,70
323.0,43.0,71
323.0,43.0,72
323.0,43.0,73
323.0,43.0,74
323.0,43.0,75
323.0,43.0,76
323.0,43.0,77
323.0,43.0,78
323.0,43.0,79
323.0,43.0,80
323.0,43.0,81
323.0,43.0,82
323.0,43.0,83
323.0,43.0,84
323.0,43.0,85
323.0,43.0,86
323.0,43.0,87
323.0,43.0,88
323.0,43.0,89
323.0,43.0,90
323.0,43.0,91
323.0,43.0,92
323.0,43.0,93
323.0,43.0,94
323.0,43.0,95
323.0,43.0,96
323.0,43.0,97
323.0,43.0,98
323.0,43.0,99
323.0,43.0,100
323.0,43.0,101
323.0,43.0,102
323.0,43.0,103
323.0,43.0,104
323.0,43.0,105
323.0,43.0,106
323.0,43.0,107
323.0,43.0,108
323.0,43.0,109
323.0,43.0,110
323.0,43.0,111
323.0,43.0,112
323.0,43.0,113
323.0,43.0,114
323.0,43.0,115
323.0,43.0,116
323.0,43.0,117
323.0,43.0,118
323.0,43.0,119
323.0,43.0,120
323.0,43.0,121
323.0,43.0,122
323.0,43.0,123
323.0,43.0,124
323.0,43.0,125
323.0,43.0,126
323.0,43.0,127
323.0,43.0,128
323.0,43.0,129
323.0,43.0,130
323.0,43.0,131
323.0,43.0,132
323.0,43.0,133
323.0,43.0,134
323.0,43.0,135
323.0,43.0,136
323.0,43.0,137
323.0,43.0,138
323.0,43.0,139
323.0,43.0,140
323.0,43.0,141
323.0,43.0,142
323.0,43.0,143
323.0,43.0,144
323.0,43.0,145
323.0,43.0,146
323.0,43.0,147
323.0,43.0,148
323.0,43.0,149
323.0,43.0,150
323.0,43.0,151
323.0,43.0,152
323.0,43.0,153
323.0,43.0,154
323.0,43.0,155
323.0,43.0,156
323.0,43.0,157
323.0,43.0,158
323.0,43.0,159
323.0,43.0,160
323.0,43.0,161
323.0,43.0,162
323.0,43.0,163
323.0,43.0,164
323.0,43.0,165
323.0,43.0,166
323.0,43.0,167
323.0,43.0,168
323.0,43.0,169
323.0,43.0,170
323.0,43.0,171
323.0,43.0,172
323.0,43.0,173
323.0,43.0,174
323.0,43.0,175
323.0,43.0,176
323.0,43.0,177
323.0,43.0,178
323.0,43.0,179
323.0,43.0,180
323.0,43.0,181
323.0,43.0,182
323.0,43.0,183
323.0,43.0,184
323.0,43.0,185
323.0,43.0,186
323.0,43.0,187
323.0,43.0,188
323.0,43.0,189
323.0,43.0,190
323.0,43.0,191
323.0,43.0,192
323.0,43.0,193
323.0,43.0,194
323.0,43.0,195
323.0,43.0,196
323.0,43.0,197
323.0,43.0,198
323.0,43.0,199
323.0,43.0,200
323.0,43.0,201
323.0,43.0,202
323.0,43.0,203
323.0,43.0,204
323.0,43.0,205
323.0,43.0,206
323.0,43.0,207
323.0,43.0,208
323.0,43.0,209
323.0,43.0,210
323.0,43.0,211
323.0,43.0,212
323.0,43.0,213
323.0,43.0,214
323.0,43.0,215
323.0,43.0,216
323.0,43.0,217
323.0,43.0,218
323.0,43.0,219
323.0,43.0,220
323.0,43.0,221
323.0,43.0,222
323.0,43.0,223
323.0,43.0,224
323.0,43.0,225
323.0,43.0,226
323.0,43.0,227
323.0,43.0,228
323.0,43.0,229
323.0,43.0,230
323.0,43.0,231
323.0,43.0,232
323.0,43.0,233
323.0,43.0,234
323.0,43.0,235
323.0,43.0,236
323.0,43.0,237
323.0,43.0,238
323.0,43.0,239
323.0,43.0,240
323.0,43.0,241
323.0,43.0,242
323.0,43.0,243
323.0,43.0,244
323.0,43.0,245
323.0,43.0,246
323.0,43.0,247
323.0,43.0,248
323.0,43.0,249
323.0,43.0,250
323.0,43.0,251
323.0,43.0,252
323.0,43.0,253
323.0,43.0,254
323.0,43.0,255
323.0,43.0,256
323.0,43.0,257
323.0,43.0,258
323.0,43.0,259
323.0,43.0,260
323.0,43.0,261
323.0,43.0,262
323.0,43.0,263
323.0,43.0,264
323.0,43.0,265
323.0,43.0,266
323.0,43.0,267
323.0,43.0,268
323.0,43.0,269
323.0,43.0,270
323.0,43.0,271
323.0,43.0,272
323.0,43.0,273
323.0,43.0,274
323.0,43.0,275
323.0,43.0,276
323.0,43.0,277
323.0,43.0,278
323.0,43.0,279
323.0,43.0,280
323.0,43.0,281
323.0,43.0,282
323.0,43.0,283
323.0,43.0,284
323.0,43.0,285
323.0,43.0,286
323.0,43.0,287
323.0,43.0,288
323.0,43.0,289
323.0,43.0,290
323.0,43.0,291
323.0,43.0,292
323.0,43.0,293
323.0,43.0,294
323.0,43.0,295
323.0,43.0,296
323.0,43.0,297
323.0,43.0,298
323.0,43.0,299
323.0,43.0,300
323.0,43.0,301
323.0,43.0,302
323.0,43.0,303
323.0,43.0,304
323.0,43.0,305
323.0,43.0,306
323.0,43.0,307
323.0,43.0,308
323.0,43.0,309
323.0,43.0,310
323.0,43.0,311
323.0,43.0,312
323.0,43.0,313
323.0,43.0,314
323.0,43.0,315
323.0,43.0,316
323.0,43.0,317
323.0,43.0,318
323.0,43.0,319
323.0,43.0,320
323.0,43.0,321
323.0,43.0,322
323.0,43.0,323
323.0,43.0,324
323.0,43.0,325
323.0,43.0,326
323.0,43.0,327
323.0,43.0,328
323.0,43.0,329
323.0,43.0,330
323.0,43.0,331
323.0,43.0,332
323.0,43.0,333
323.0,43.0,334
323.0,43.0,335
